Albania_Kenete_Medieval.AG:I14622.AG__AD_829__Cov_59.81%,0.110408,0.152329,0.014708,-0.032946,0.01908,-0.001116,0.000235,-0.001154,-0.001636,0.015855,0.001624,0.009292,-0.012785,0.003441,-0.015336,-0.01127,0.010431,-0.009375,0.011439,-0.01013,-0.010981,0.005935,-0.003697,-0.001566,-0.005748
Albania_Shtike_Medieval.AG:I13839.AG__AD_936__Cov_71.63%,0.121791,0.15436,0.017725,-0.036176,0.032929,-0.013666,-0.00047,0.001615,0.003477,0.022233,-0.003248,0.003897,-0.015015,-0.002477,-0.020358,-0.009016,0.005867,0.007601,0.003771,-0.017884,-0.005241,0.002226,0.001725,-0.000964,0.001916
Argentina_Central_Hills_Calamuchita_700BP:I12724.AG__AD_1250__Cov_66.18%,0.061464,-0.311768,0.118416,0.098838,-0.116637,-0.013108,-0.300109,-0.359754,-0.011044,-0.01549,-0.004872,0.004046,0.003271,0.024359,-0.007872,0.008088,0.007171,-0.00152,0.002514,0.003377,0.00549,0.000989,-0.006039,0.001205,0.005508
Argentina_Central_Hills_Calamuchita_700BP:I13564.AG__AD_1250__Cov_6.43%,0.05805,-0.30669,0.105971,0.092378,-0.120022,-0.022311,-0.284128,-0.33714,-0.007976,-0.016766,-0.005359,-0.006444,-0.017393,0.006055,0.00475,0.017767,0.005346,-0.001267,0.019106,0.014757,-0.013227,0.020279,-0.013064,-0.003615,-0.00934
Argentina_Central_Hills_Calamuchita_700BP:I17028.AG__AD_1250__Cov_68.79%,0.059188,-0.319892,0.113513,0.095608,-0.116329,-0.021475,-0.292353,-0.351216,-0.020861,-0.010752,-0.000812,-0.005845,0.001487,0.026286,-0.010993,0.005436,0.005215,0.004434,0.001885,0.004127,0.00025,0.006677,0,-0.006266,-0.00467
Argentina_Central_Hills_Calamuchita_700BP:I34465.TW__AD_1250__Cov_67.96%,0.053497,-0.31583,0.114268,0.097223,-0.12033,-0.022869,-0.303634,-0.357677,-0.014521,-0.015672,0.000162,0.002847,0.00446,0.02257,-0.005836,0.001724,-0.000391,0.005448,-0.001634,0.002751,0.002496,-0.004081,-0.003821,-0.00253,-0.000958
Argentina_Central_Hills_Calamuchita_700BP:I34466.TW__AD_1250__Cov_47.71%,0.052359,-0.322938,0.111628,0.094962,-0.120022,-0.020917,-0.296113,-0.356985,-0.007976,-0.017495,0.000812,-0.002248,-0.002527,0.018854,-0.004479,0.00411,0.005085,0.003294,0.002891,0.012006,-0.001123,0.010263,0.006409,-0.008796,0.006826
Argentina_Central_Hills_Calamuchita_700BP:I40453.TW__AD_1250__Cov_97.83%,0.059188,-0.323954,0.116907,0.097546,-0.11079,-0.017291,-0.300344,-0.350293,-0.011249,-0.017312,0.001786,0.002098,0.005649,0.029726,-0.010722,0.000796,0.0103,-0.002787,0.003268,0.002251,0.009858,0.000495,-0.003697,-0.003253,-0.001796
Argentina_Central_Hills_Calamuchita_700BP:I40460.TW__AD_1250__Cov_62.92%,0.050082,-0.320907,0.115399,0.092378,-0.12033,-0.01506,-0.298934,-0.364139,-0.016566,-0.015855,-0.00682,0.005095,-0.001487,0.019267,-0.011129,-0.000663,0.003912,0.004054,0.007165,-0.001376,0.002745,-0.001484,-0.001725,-0.001205,0.003473
Argentina_Central_Hills_Calamuchita_700BP_1D_rel_of_I12724:I12725.AG__AD_1250__Cov_59.06%,0.05805,-0.313799,0.123696,0.08398,-0.116022,-0.018128,-0.297993,-0.361139,-0.014112,-0.017677,0.003085,0.006744,0.0055,0.024497,-0.009229,0.005701,-0.000522,-0.003041,-0.002891,-0.0005,-0.001747,0.005193,-0.006162,0.003374,0.007664
Argentina_Central_Hills_Calamuchita_700BP_2D_or_more_rel_of_I40460:I17039.AG__AD_1250__Cov_52.54%,0.05805,-0.318876,0.120679,0.093347,-0.107097,-0.021196,-0.304809,-0.361139,-0.018816,-0.013121,0.000325,-0.001349,0.004014,0.020781,-0.005157,0.008884,0.001565,0.00228,-0.003897,-0.003627,0.003743,0.004204,-0.003697,-0.000361,0.001796
Argentina_Central_Hills_Comechingones_1200BP:I19258.AG__AD_750__Cov_28.42%,0.055773,-0.308721,0.118416,0.091086,-0.111098,-0.024263,-0.290003,-0.351908,-0.012067,-0.007472,-0.009581,-0.0003,0,0.029726,-0.010315,-0.002917,-0.007562,-0.001394,0.004399,0.006753,0.000499,0.004946,0.0053,-0.008917,0.001796
Argentina_Central_Hills_NorthCordoba_900BP:I12602.AG__AD_1050__Cov_38.30%,0.056912,-0.311768,0.118039,0.098515,-0.118176,-0.018128,-0.300344,-0.351447,-0.006749,-0.009112,0.00406,0.002248,-0.000892,0.026699,-0.005022,0.009679,0.013038,-0.007221,0.005531,0.003126,-0.008235,0.003215,-0.009737,-0.003494,-0.006227
Argentina_Central_Hills_NorthCordoba_900BP:I42320.TW__AD_1050__Cov_97.48%,0.047806,-0.316845,0.125581,0.099161,-0.118484,-0.019801,-0.301284,-0.352139,-0.016157,-0.01713,-0.002761,-0.001798,0.003419,0.023396,-0.003529,0.002784,0.005215,-0.004941,0.003897,0.004627,-0.003619,0.00136,-0.005053,0.002771,-0.000718
Argentina_Central_Hills_NorthCordoba_900BP_contam:I42327.TW__AD_1050__Cov_13.11%,0.055773,-0.323954,0.107102,0.089148,-0.116637,-0.015618,-0.281543,-0.356062,-0.018816,-0.015126,0.001461,0.002098,0.010704,0.021332,-0.008143,0.003713,0.01004,0.004814,-0.005656,0.004377,0.004742,0.015457,0.002218,0.019521,-0.003952
Argentina_Central_Hills_NorthPunilla_700BP:I12731.AG__AD_1250__Cov_40.13%,0.056912,-0.320907,0.122564,0.101422,-0.119407,-0.016176,-0.296818,-0.350524,-0.00859,-0.023326,-0.003248,-0.001798,0.00446,0.027112,-0.004886,0.005569,0.008214,0.003674,0.005656,0.001626,0,0.005193,-0.00949,0.003253,-0.002515
Argentina_Central_Hills_NorthPunilla_700BP:I39331.TW__AD_1250__Cov_35.65%,0.05122,-0.314814,0.119924,0.093993,-0.111713,-0.022032,-0.301989,-0.351678,-0.007363,-0.009476,0.005521,0.003297,-0.00446,0.02546,-0.005022,0.004508,0.014864,0.002534,0.000628,0.005253,-0.002121,0.002226,-0.006039,-0.003976,0.005029
Argentina_Central_Hills_SierrasChicas_700BP:I12713.AG__AD_1250__Cov_65.00%,0.05122,-0.316845,0.122564,0.095285,-0.11356,-0.016733,-0.292353,-0.341986,-0.017998,-0.014761,-0.00065,-0.001199,0.001635,0.03069,-0.001357,-0.005569,-0.007302,-0.000507,0.000503,0.002376,-0.006364,0.007543,-0.001479,0.00253,-0.011616
Argentina_Central_Hills_SierrasChicas_700BP:I12765.AG__AD_1250__Cov_11.61%,0.05122,-0.31583,0.112382,0.088179,-0.111098,-0.008925,-0.291648,-0.349601,-0.01084,-0.025695,-0.001299,-0.005545,-0.020812,0.023533,-0.000136,0.000265,0.006128,-0.003927,0.003142,0.003126,-0.010981,0.008037,-0.006902,0.001446,-0.002515
